term,estimate,std.error,statistic,p.value
(Intercept),-1.217036999008261,0.26577180387646604,-4.579255516412699,4.666338683811172e-6
L1.sfwp2,0.4614478620495982,0.16799538197729424,2.7467889689489566,0.0060181843960722195
L1.sfwp3,0.7290555165715037,0.16707685545251327,4.363593716178818,1.2794309363859962e-5
L1.sfwp4,0.938020273169796,0.16756866578332127,5.597826233114047,2.1705614488184235e-8
L1.sfwp5,1.0695596270542094,0.173559322491963,6.162501741176925,7.160454342216932e-10
terrainHigh,0.19649855084562,0.09655996558430477,2.0349898599959695,0.041851893278552474
terrainLow,0.07157420527910682,0.2573609026944682,0.27810830833181277,0.780929218109349
doy_cos,0.01812222614197928,0.07773607776647248,0.23312503875511179,0.8156643123773798
gaccNO,0.0024786125789254525,0.20759916244324944,0.011939415119764854,0.9904739513339186
gaccNR,-0.33500354312237096,0.13243273911178566,-2.5296127329934373,0.011418848459913715
gaccNW,-0.08375290494072148,0.14238503705288166,-0.5882142300501403,0.5563885071104553
gaccRM,-0.2607798690586292,0.16504396081202588,-1.580063080015634,0.11409242126620013
gaccSO,0.08563389400689321,0.1425136633390747,0.6008819926490089,0.5479185877799129
gaccSW,0.15090980245574162,0.17112737215636736,0.8818565992928824,0.37785435958486246
gaccWB,0.35251041556495427,0.14720506358550364,2.394689469090169,0.016634446626552894
"splines::ns(L1.area, df = 3)1",1.9809834753347566,0.33508893217742536,5.911814103981957,3.383602847867366e-9
"splines::ns(L1.area, df = 3)2",2.770417922756657,0.24748229449639966,11.1944085874675,4.342904966618282e-29
"splines::ns(L1.area, df = 3)3",0.872776669409546,0.43402408619316885,2.010894549804095,0.04433659616835293
cause_descrLightning,0.13062403714820503,0.1026426527294576,1.272609716084598,0.20315656910105517
cause_descrN/A,-0.06054128969001757,0.36724680103654517,-0.16485178228684702,0.8690606451917621
cause_descrUnder Investigation,0.17998416154608748,0.11123253821649619,1.6180891349955293,0.1056433896712155
year2008,-0.2367773359705202,0.14749569670228863,-1.605316909336286,0.10842407976834066
year2009,-0.18571576861556074,0.15548893286244542,-1.1943986314437938,0.2323220719255247
year2010,-0.45697718546582716,0.17063289975132784,-2.678130572309348,0.007403435119058943
year2011,-0.2862843382543867,0.12886981615527013,-2.221500323314298,0.02631709283506573
year2012,-0.01763287860418254,0.10841885400468528,-0.16263664439231706,0.8708045330485358
year2013,-0.21572171103341328,0.1282321733066706,-1.6822744672470702,0.09251562983948258
PC1,0.06920873111630292,0.022187655038285653,3.1192449583735007,0.0018131515373468448
PC2,0.11691782802900254,0.03449084900981686,3.3898216885216463,6.99380986792472e-4
PC3,0.025429451849555564,0.04412587073185088,0.5762934856082083,0.5644168253318016
PC4,0.0164611029035281,0.021350409809802663,0.7709970464346908,0.4407086822700123
PC5,-0.1332504844776695,0.05666021140273927,-2.3517470404501073,0.01868547724556367
PC6,-0.003322895202456256,0.03025285876108377,-0.10983739515984894,0.9125383334028507
PC7,-0.03222564424195896,0.028900918114574545,-1.1150387719242654,0.2648338073074259
PC8,-0.022616425247850222,0.04331418621096664,-0.5221482203935304,0.6015671347727776
PC9,-0.03368260211635246,0.030667923176075588,-1.0983007203640271,0.2720731974687272
PC10,-0.02495430695244623,0.04315609984732047,-0.5782335994385652,0.563106417264039
PC11,-0.03616061240489186,0.045359599273636746,-0.7971986742375965,0.4253356558860123
PC12,0.01650941825307576,0.044259306087602174,0.3730157499622513,0.7091367218221167
PC13,-0.08464320916802907,0.043349336072729255,-1.9525837495185419,0.050868938285245816
PC14,0.11040714096675247,0.06365285944198129,1.7345197361854114,0.08282590702275092
PC15,-0.08011986243595047,0.02878804589751832,-2.7830948554537778,0.005384306194951464
PC16,-2.4474783340640185e-4,0.05266867157565977,-0.004646933861903388,0.9962922965605412
PC17,-0.0841851020534351,0.04639133041961859,-1.814673157505174,0.06957415248169269
PC18,0.08748685657286653,0.05246263565619402,1.667603151816437,0.09539453217392305
PC19,0.020530194891335455,0.054084619337229654,0.3795939611467932,0.7042468441883318
PC20,-0.03952586205221943,0.04359300289331041,-0.9067019803374201,0.36456441591859307
doy_cos:gaccNO,0.0889474265608542,0.13761544523750802,0.6463477003423667,0.5180542025968808
doy_cos:gaccNR,-0.09251185779559903,0.12117917061874382,-0.7634303595513257,0.4452067798192486
doy_cos:gaccNW,0.013885900043339975,0.12713266767510273,0.10922369755369608,0.9130250648220176
doy_cos:gaccRM,-0.15516878351242772,0.15645883801110289,-0.9917546716115607,0.32131721433053684
doy_cos:gaccSO,0.05933762712770726,0.11793882880266207,0.5031220653122842,0.6148784540796646
doy_cos:gaccSW,0.06016628199942765,0.11779435154172012,0.5107739141304929,0.6095093771662929
doy_cos:gaccWB,0.12167393425809604,0.16752538025724495,0.7263014957569931,0.46765396261095626
Effron R2,0.19841847658027745,NA,NA,NA
