Variable,model 1,model 2,model 3,model 4
growth_potentialHigh,10.58*** (2.22),10.24*** (2.53),7.27*** (2.38),7.63** (3.62)
growth_potentialLow,-6.6** (2.98),-5.55** (2.37),-1.97 (2.13),1.71 (3.21)
L1.growth,0.59 (0.4),0.34* (0.19),0.46** (0.21),0.44 (0.29)
evac_potential,  ,-0.13 (3.31),-1.36 (3.2),-1.08 (4.34)
L1.evac,  ,-1.11 (3.59),-1.53 (3.8),-3.27 (4.92)
growth_potentialHigh:evac_potential,  ,0.49 (3.86),2.13 (3.7),-0.73 (4.9)
growth_potentialLow:evac_potential,  ,-8.68 (12.61),-12.1 (12.35),-14.33 (18.17)
L1.growth:L1.evac,  ,0.41 (0.6),0.34 (0.61),0.38 (0.94)
Fixed-Effects:,---------------,---------------,--------------,--------------
incident_number,Yes,Yes,Yes,Yes
time_since_disco,No,No,Yes,Yes
ic_name,No,No,No,Yes
___________________________________,_______________,_______________,______________,______________
Observations,"3,735","3,735","3,735","3,735"
S.E. type,1-way: incide..,1-way: incide..,1-way: incid..,1-way: incid..
R2,0.57992,0.58084,0.62292,0.76483
Within R2,0.12565,0.12757,0.05408,0.04771
