Variable,model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,Wildland_Engines,Structure_Engines,Dozers,Type_1_Crews,Type_2_Crews,VLAT,T2_4_Airtanker,Helicopters
   ,   ,   ,   ,   ,   ,   ,   ,   
growth_potentialHigh,4.73*** (1.3),0.64 (0.68),0.57** (0.24),1.49*** (0.43),0.22 (0.14),0.12*** (0.04),1.92*** (0.34),0.54*** (0.13)
growth_potentialLow,-1.63 (1.15),-1.28* (0.74),-0.26 (0.2),-0.56 (0.41),-0.19** (0.1),-0.13** (0.06),-1.25*** (0.35),-0.25** (0.13)
evac_potential,0.34 (1.78),0.21 (0.85),-0.14 (0.25),-0.21 (0.63),-0.26 (0.17),0.01 (0.06),-0.01 (0.45),-0.08 (0.17)
L1.growth,0.18* (0.1),-0.01 (0.05),0.01 (0.02),0.04 (0.03),0.03** (0.01),0 (0),0.07** (0.03),0.03** (0.01)
L1.evac,-1 (2.16),0.25 (1.15),-0.45 (0.35),-0.46 (0.61),0.22 (0.21),-0.01 (0.05),0.48 (0.34),-0.14 (0.16)
growth_potentialHigh:evac_potential,0.06 (2.14),-0.32 (1.02),0.07 (0.29),0.37 (0.68),0.5** (0.24),0 (0.07),-0.16 (0.5),-0.03 (0.21)
growth_potentialLow:evac_potential,-4.27 (6.01),-3.76 (4.73),-0.99 (0.97),-0.68 (1.5),0.52 (0.4),0.02 (0.11),0.34 (0.83),0.13 (0.34)
L1.growth:L1.evac,0.2 (0.38),0.01 (0.09),0.04 (0.05),0.14 (0.12),-0.01 (0.03),0.01 (0.01),0.01 (0.04),0.01 (0.02)
Fixed-Effects:,----------------,-----------------,-------------,--------------,-------------,--------------,---------------,--------------
incident_number,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
___________________________________,________________,_________________,_____________,______________,_____________,______________,_______________,______________
Observations,"3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735"
S.E. type,1-way: inciden..,1-way: incident..,1-way: inci..,1-way: incid..,1-way: inci..,1-way: incid..,1-way: incide..,1-way: incid..
R2,0.49577,0.46379,0.44901,0.5019,0.3285,0.62267,0.63442,0.48125
Within R2,0.08948,0.02522,0.07102,0.08185,0.05616,0.02399,0.17992,0.12463
